vessel_id,vessel_type,vessel_name,dwt,displacement,length_pp,beam,mcr_kw,speed_knots,draft_ratio,wave_height_m,wind_speed_kmh,wind_angle_deg,calm_power_kw,wave_power_kw,wind_power_kw,total_power_kw,engine_load_pct,sfoc_g_kwh,fuel_burn_mt_per_day,corridor
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,14.41,0.798,0.52,3.94,88.7,25485.1,9.5,0.0,18900.0,105.0,192.44,87.289,Western Mediterranean
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,17.22,0.67,2.99,45.17,116.9,55996.7,393.3,-32.1,56357.8,97.17,176.51,238.75,English Channel East
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,11.46,0.835,1.21,28.1,176.0,22845.9,42.7,-56.4,22832.2,71.35,173.0,94.801,Rotterdam Approaches
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,21.02,0.835,0.54,2.68,99.7,111958.7,19.3,-0.0,60900.0,105.0,184.22,269.256,Malta Channel
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,14.83,0.809,1.33,25.56,162.2,48830.1,71.5,-44.5,33600.0,105.0,187.76,151.412,Rotterdam Approaches
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,12.55,0.983,2.21,32.17,111.6,32418.2,303.0,-27.3,32693.9,102.17,180.42,141.566,Suez Canal Transit
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,12.97,0.854,0.34,7.72,177.5,15335.2,0.9,-1.1,14700.0,105.0,189.09,66.712,Malacca Strait Central
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,12.7,0.935,1.52,22.3,164.0,32839.9,79.0,-34.2,32884.7,102.76,185.5,146.4,Gulf of Suez
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,17.03,0.953,0.97,20.33,67.8,36530.1,29.9,2.8,14700.0,105.0,195.03,68.808,Strait of Gibraltar
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,16.43,0.703,3.89,52.1,174.6,62537.4,637.4,-193.2,33600.0,105.0,187.14,150.911,English Channel East
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,13.4,0.746,1.07,31.18,146.3,15921.8,11.6,-14.4,14700.0,105.0,191.61,67.599,Gulf of Suez
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,21.22,0.855,0.48,7.66,68.0,116417.7,21.0,0.8,60900.0,105.0,182.11,266.171,Southern Red Sea
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,12.51,0.723,0.73,16.26,8.4,27934.9,68.0,18.7,28021.6,87.57,168.65,113.419,Ras Tanura Terminal
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,14.14,0.92,0.76,19.86,99.3,20571.5,11.1,-1.1,14700.0,105.0,193.75,68.354,Taiwan Strait
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,11.74,0.66,1.41,25.98,126.7,22228.5,95.3,-28.9,22294.9,69.67,170.17,91.055,Rotterdam Approaches
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,11.45,0.655,0.73,18.4,70.6,11783.0,17.9,3.1,11804.0,65.58,176.25,49.93,Laccadive Sea / Arabian Basin
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,14.1,0.924,0.41,6.67,155.2,33336.3,4.1,-1.7,23100.0,105.0,187.09,103.725,Shanghai Wusong
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,17.13,0.945,0.49,7.16,8.3,64272.2,23.0,1.8,60900.0,105.0,179.94,263.007,Singapore Strait
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,12.18,0.677,1.49,27.04,27.3,14353.7,99.8,17.9,14471.4,80.4,173.22,60.163,Suez Canal Transit
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,15.38,0.794,0.51,6.35,175.2,40319.5,6.2,-1.7,23100.0,105.0,183.64,101.81,Malacca Strait Central
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,16.11,0.772,0.33,9.88,96.2,48629.8,5.7,-0.4,48635.1,83.85,168.11,196.231,Northern Red Sea
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,16.76,0.695,0.69,15.56,16.6,49334.9,47.9,9.9,23100.0,105.0,193.0,107.001,Taiwan Strait
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,10.93,0.747,1.34,26.18,33.2,10797.7,71.4,15.8,10884.9,60.47,177.31,46.32,Bay of Biscay
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,14.22,0.902,0.7,16.08,24.0,20710.6,16.3,4.2,14700.0,105.0,193.29,68.192,Gulf of Oman
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,10.71,0.954,0.4,3.2,18.9,11378.5,6.4,0.3,11385.2,63.25,176.79,48.306,Malta Channel
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,18.08,0.944,1.0,26.69,42.0,75442.2,92.2,18.4,60900.0,105.0,183.19,267.745,Strait of Gibraltar
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,15.04,0.818,2.13,42.18,100.4,23431.6,91.9,-5.7,14700.0,105.0,184.77,65.186,Bab-el-Mandeb Strait
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,11.7,0.749,0.4,5.17,102.7,23212.2,10.4,-0.4,23222.2,72.57,165.2,92.073,Western Mediterranean
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,16.29,0.821,0.51,5.49,145.1,51694.5,7.5,-0.9,51701.2,89.14,170.52,211.583,Southern Red Sea
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,11.28,0.656,0.99,23.89,161.4,19708.4,30.7,-38.7,19700.4,61.56,176.9,83.639,Gulf of Oman
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,14.98,0.937,1.8,30.42,85.8,53886.5,324.6,4.9,33600.0,105.0,186.78,150.617,Cape Comorin
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,14.85,0.989,0.48,4.14,132.5,42753.4,7.0,-0.4,42760.0,73.72,171.07,175.556,Western Mediterranean
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,21.39,0.762,1.93,30.82,81.8,113281.2,303.1,4.7,60900.0,105.0,184.89,270.23,Suez Canal Transit
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,17.94,0.721,0.99,15.53,25.0,65275.2,95.1,7.6,60900.0,105.0,190.75,278.805,Gulf of Oman
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,16.46,0.911,1.19,29.64,178.4,40334.6,22.4,-24.2,18900.0,105.0,186.88,84.769,Rotterdam Approaches
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,13.15,0.974,0.48,3.79,140.7,17020.9,2.4,-0.2,14700.0,105.0,192.33,67.854,Western Mediterranean
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,11.65,0.935,2.22,38.32,64.6,18916.9,276.3,26.9,19220.1,87.36,173.01,79.807,Bab-el-Mandeb Strait
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,16.53,0.936,1.23,24.71,83.3,57466.8,93.9,2.5,57563.3,99.25,180.04,248.724,Strait of Gibraltar
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,12.95,0.787,0.44,5.0,41.2,32173.0,22.9,1.3,32197.3,100.62,178.6,138.011,Shanghai Wusong
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,17.08,0.87,0.39,5.65,142.9,44120.5,3.3,-0.7,18900.0,105.0,190.38,86.356,Southern Red Sea
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,17.48,0.913,0.48,10.23,25.8,48439.4,14.7,2.6,18900.0,105.0,195.01,88.458,Singapore Strait
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,15.5,0.823,0.49,5.88,96.6,41957.6,13.1,-0.2,23100.0,105.0,185.29,102.724,Goa Coast
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,14.02,0.839,1.61,28.63,138.9,31306.1,76.7,-26.4,23100.0,105.0,181.3,100.514,Cape Comorin
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,15.36,0.84,0.53,13.43,32.7,31570.0,15.9,4.2,18900.0,105.0,189.07,85.763,Ras Tanura Terminal
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,14.8,0.969,1.89,31.63,46.1,24200.3,113.5,12.3,14700.0,105.0,193.2,68.161,Eastern Mediterranean
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,17.02,0.848,2.02,39.48,127.3,56375.0,170.5,-40.3,23100.0,105.0,188.18,104.329,Suez Canal Transit
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,13.47,0.908,1.69,31.95,81.2,17655.0,63.8,2.8,14700.0,105.0,187.55,66.166,Gulf of Suez
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,14.49,0.715,0.9,15.75,56.1,34282.5,54.5,4.8,34341.8,59.21,176.2,145.226,JNPT Mumbai Approaches
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,12.84,0.931,0.57,15.76,71.7,33879.9,31.6,5.6,33600.0,105.0,182.57,147.226,JNPT Mumbai Approaches
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,16.06,0.771,0.69,18.93,81.4,60750.0,53.7,3.8,33600.0,105.0,185.65,149.704,Taiwan Strait
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,11.73,0.824,0.41,8.68,65.2,13964.9,6.0,0.9,13971.8,77.62,166.17,55.721,Goa Coast
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,12.04,0.724,0.43,8.89,82.6,14259.2,5.9,0.3,14265.4,79.25,172.86,59.183,Goa Coast
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,17.52,0.858,0.33,7.05,37.8,65659.5,10.2,1.4,60900.0,105.0,184.64,269.867,Malacca Strait Central
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,10.76,0.815,1.29,19.49,139.6,10699.4,23.4,-8.0,10714.8,59.53,182.42,46.911,Rotterdam Approaches
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,13.31,0.846,1.03,20.85,155.1,26882.2,24.6,-16.8,23100.0,105.0,180.0,99.793,Rotterdam Approaches
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,12.4,0.875,1.21,20.32,28.1,16918.1,66.8,10.0,16994.9,94.42,179.35,73.155,Strait of Gibraltar
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,12.22,0.731,0.47,4.86,18.7,26162.0,26.7,1.6,26190.4,81.84,171.58,107.852,Shanghai Wusong
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,20.99,0.845,2.27,43.42,178.0,112046.9,152.7,-65.6,60900.0,105.0,187.6,274.203,Bab-el-Mandeb Strait
IMO-9811004,4,Indus Star,178000.0,210000.0,290.0,45.0,22000.0,15.18,0.722,0.38,12.98,2.3,37211.4,13.8,7.2,23100.0,105.0,188.66,104.594,Strait of Hormuz
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,15.66,0.693,1.08,20.63,126.7,53891.2,74.3,-18.2,33600.0,105.0,187.01,150.802,Gulf of Oman
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,16.28,0.777,0.97,30.38,62.1,36293.0,46.9,11.9,18900.0,105.0,190.71,86.504,Strait of Gibraltar
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,15.74,0.727,2.28,37.12,20.6,55721.6,817.7,92.3,33600.0,105.0,187.17,150.931,Sri Lanka Dondra Head
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,11.12,0.744,3.79,58.74,46.4,19878.8,1438.2,170.1,21487.2,67.15,171.07,88.218,English Channel East
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,17.39,0.834,1.93,34.82,3.3,45693.3,250.2,33.4,18900.0,105.0,183.98,83.453,Eastern Mediterranean
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,14.58,0.94,0.37,7.41,24.6,49833.2,19.2,3.6,33600.0,105.0,187.91,151.534,Northern Red Sea
IMO-9811001,1,Oceanic Vanguard,298000.0,340000.0,330.0,60.0,32000.0,15.03,0.738,0.46,6.81,103.2,48832.4,17.4,-0.8,33600.0,105.0,185.47,149.561,Southern Red Sea
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,10.83,0.708,2.6,31.3,108.6,8215.3,89.7,-5.5,8299.5,59.28,184.14,36.679,Eastern Mediterranean
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,16.36,0.803,0.93,18.92,109.9,29899.3,16.8,-2.2,14700.0,105.0,190.44,67.188,JNPT Mumbai Approaches
IMO-9811005,5,Ever Given Vanguard,145000.0,175000.0,366.0,51.2,58000.0,14.93,0.661,1.43,31.28,9.3,36349.1,169.9,33.6,36552.7,63.02,173.02,151.78,Cape Comorin
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,11.58,0.868,0.54,12.44,63.3,13751.2,10.4,1.9,13763.5,76.46,174.28,57.569,Cape Finisterre Atlantic
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,12.22,0.937,0.5,6.88,49.0,13400.9,6.3,0.6,13407.7,95.77,178.24,57.356,Shanghai Wusong
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,13.03,0.682,0.52,3.99,171.0,14083.2,2.2,-0.3,14085.1,100.61,181.52,61.362,Western Mediterranean
IMO-9811003,3,Nordic Horizon,115000.0,135000.0,245.0,42.0,18000.0,14.97,0.916,0.48,6.71,176.5,30458.6,3.3,-1.2,18900.0,105.0,187.95,85.254,Malacca Strait Central
IMO-9811002,2,Pacific Meridian,74000.0,89000.0,225.0,32.2,14000.0,15.03,0.893,0.33,6.81,7.9,24321.8,4.0,0.8,14700.0,105.0,187.23,66.054,Shanghai Wusong
